Treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Inbred,G1,931,119,234,143,671,457,329,281,203,179,53,49,43,44,48,56,49,48,43,44,37,29,25,28,22,27,21,18,15,20,7,16,11,0,0,0,,,,,,,,,,,,,,
Inbred,G3,1524,443,562,347,215,148,635,112,243,176,133,778,392,135,98,177,93,81,96,85,88,83,80,79,73,76,68,71,65,69,65,53,0,0,32,25,0,0,,,,,,,,,,,,
Inbred,G5,1972,649,381,193,139,114,62,47,164,130,61,29,21,22,16,19,23,17,18,0,0,36,17,12,11,5,9,0,0,28,14,0,0,0,,,,,,,,,,,,,,,,
Inbred,G7,503,114,81,52,104,77,62,57,51,59,54,56,60,52,49,33,32,27,37,39,32,29,31,22,27,23,19,14,47,24,19,36,22,37,33,14,9,0,0,,,,,,,,,,,
Inbred,G9,287,226,131,89,62,58,55,42,47,43,39,46,45,45,45,44,39,25,31,24,17,12,7,5,13,9,5,30,17,0,0,0,0,,,,,,,,,,,,,,,,,
Outbred,AB,579,564,542,539,499,471,453,439,422,419,412,407,386,349,344,314,300,284,279,244,201,160,152,127,128,109,116,92,83,95,76,87,81,34,49,26,11,0,0,0,0,,,,,,,,,
Outbred,BC,638,576,551,515,528,518,497,499,487,462,466,457,453,437,422,366,354,316,299,264,250,237,231,266,251,222,216,201,193,165,137,84,62,29,7,2,4,,,,,,,,,,,,,
Outbred,CD,790,551,535,512,488,452,467,462,449,423,422,419,411,401,388,367,340,325,276,262,248,237,222,263,240,221,186,179,174,158,143,138,126,110,104,98,84,59,11,0,0,0,0,,,,,,,
Outbred,DE,407,399,439,427,374,373,386,379,352,347,333,327,316,302,289,279,261,257,238,215,194,173,146,217,253,306,279,254,212,199,137,64,17,,,,,,,,,,,,,,,,,
Outbred,EA,337,329,327,316,324,318,324,312,306,301,296,294,263,241,212,194,167,153,138,121,118,135,112,105,100,93,88,91,76,74,62,48,29,43,37,31,26,19,5,12,4,0,0,0,0,,,,,
